SKU,regions,alt_sku,alt_release_date
MT103,ZM,MXQR3,8/14/24
MT123,ZM,MXQT3,8/14/24
MT133,ZM,MXQU3,8/14/24
MT143,ZM,MXQV3,8/14/24
MT213,ZM,MXRL3,8/14/24
MT0J3,ZM,MXPD3,8/14/24
MT0N3,ZM,MXPF3,8/14/24
MT0Q3,ZM,MXPG3,8/14/24
MT0U3,ZM,MXPH3,8/14/24
MT203,ZM,MXRK3,8/14/24
MPT33,ZM,MW4Y3,8/14/24
MPT53,ZM,MW503,8/14/24
MPT63,ZM,MW513,8/14/24
MPT73,ZM,MW523,8/14/24
MPU43,ZM,MW4T3,8/14/24
MPRU3,ZM,MW5R3,8/14/24
MPRV3,ZM,MW5T3,8/14/24
MPRW3,ZM,MW5U3,8/14/24
MPRX3,ZM,MW5V3,8/14/24
MPU13,ZM,MW5Q3,8/14/24
MM293,ZM,MC2Y4,12/1/24
MM2A3,ZM,MC4A4,12/1/24
MM2C3,ZM,MC4E4,12/1/24
MM2X3,ZM,MC2W4,12/1/24
MQ4N2,ZM,MR632,9/12/17
MNYV2,ZM,MR622,9/12/17
