group_id,SKUs...
airtag-finewoven-key-ring-black,MGG24,MA7G4,MT2H3
magsafe-iphone-finewoven-wallet-black,MGHA4,MA6W4,MT2N3
ipad-10-smart-folio-lemonade,MDEN4,MQDR3
ipad-10-smart-folio-sky,MDEQ4,MQDU3
ipad-10-smart-folio-watermelon,MDEP4,MQDT3
ipad-10-smart-folio-white,MDEJ4,MQDQ3
ipad-10-5-polyurethane-smart-cover-charcoal-gray,MVQ22,MU7P2,MQ082
ipad-10-5-polyurethane-smart-cover-pink-sand,MVQ42,MU7R2,MQ0E2
ipad-10-5-polyurethane-smart-cover-white,MVQ32,MU7Q2,MPQM2
ipad-10-5-smart-keyboard-black,MX3L2,MPTL2
ipad-2-4-leather-smart-cover-black,MD301,MC947
ipad-2-4-leather-smart-cover-cream,MD305,MC952
ipad-2-4-leather-smart-cover-navy,MD303,MC949
ipad-2-4-leather-smart-cover-tan,MD302,MC948
ipad-2-4-polyurethane-smart-cover-blue,MD310,MC942
ipad-2-4-polyurethane-smart-cover-green,MD309,MC944
ipad-2-4-polyurethane-smart-cover-pink,MD308,MC941
ipad-9-7-smart-cover-product-red,MQ4N2,MGTP2
ipad-9-7-smart-cover-black,MGTM2,MF053
ipad-9-7-smart-cover-blue,MGTQ2,MF054
ipad-9-7-smart-cover-green,MGXL2,MF056
ipad-9-7-smart-cover-pink,MGXK2,MF055
ipad-9-7-smart-cover-white,MQ4M2,MGTN2
ipad-9-7-smart-cover-yellow,MGXN2,MF057
ipad-air-11-inch-smart-folio-charcoal-gray,MWK53,MRX72
ipad-air-11-inch-smart-folio-white,MH0A3,MRX82
ipad-air-13-inch-smart-folio-charcoal-gray,MWK93,MRXD2
ipad-pro-11-m1-smart-folio-black,MJM93,MXT42
ipad-pro-11-m1-smart-folio-deep-navy,MJMC3,MGYX3
ipad-pro-11-m1-smart-folio-white,MJMA3,MXT32
ipad-pro-12-9-1-2-polyurethane-smart-cover-charcoal-gray,MQ0G2,MK0L2
ipad-pro-12-9-1-2-polyurethane-smart-cover-white,MQ0H2,MLJK2
ipad-pro-12-9-m1-smart-folio-black,MJMG3,MXT92
ipad-pro-12-9-m1-smart-folio-deep-navy,MJMJ3,MH023
ipad-pro-12-9-m1-smart-folio-white,MJMH3,MXT82
ipad-mini-1-3-smart-case-black,MGN62,ME710
ipad-mini-1-3-smart-cover-black,MGNC2,MF059
ipad-mini-1-3-smart-cover-blue,MGNM2,MF060,MD970
ipad-mini-1-3-smart-cover-green,MGNQ2,MF062,MD969
ipad-mini-1-3-smart-cover-pink,MGNN2,MF061,MD968
ipad-mini-1-3-smart-cover-red,MF394,MD828
ipad-mini-1-3-smart-cover-yellow,MGNT2,MF063
ipad-mini-4-5-smart-cover-charcoal-gray,MVQD2,MKLV2
ipad-mini-4-5-smart-cover-pink-sand,MVQF2,MNN32
ipad-mini-4-5-smart-cover-white,MVQE2,MKLW2
iphone-5s-se-leather-case-black,MMHH2,MF045
iphone-6-6s-leather-case-product-red,MKXX2,MGR82
iphone-6-6s-leather-case-black,MKXW2,MGR62
iphone-6-6s-leather-case-midnight-blue,MKXU2,MGR32
iphone-6-6s-silicone-case-product-red,MKY32,MGQH2
iphone-6-6s-silicone-case-blue,MKY52,MGQJ2
iphone-6-6s-silicone-case-lavender,MM622,MLCV2
iphone-6-6s-silicone-case-pink,MLCU2,MGXT2
iphone-6-6s-silicone-case-white,MKY12,MGQG2
iphone-6-6s-plus-leather-case-product-red,MKXG2,MGQY2
iphone-6-6s-plus-leather-case-black,MKXF2,MGQX2
iphone-6-6s-plus-leather-case-midnight-blue,MKXD2,MGQV2
iphone-6-6s-plus-silicone-case-product-red,MKXM2,MGRG2
iphone-6-6s-plus-silicone-case-blue,MKXP2,MGRH2
iphone-6-6s-plus-silicone-case-lavender,MM6D2,MLD02
iphone-6-6s-plus-silicone-case-pink,MLCY2,MGXW2
iphone-6-6s-plus-silicone-case-white,MKXK2,MGRF2
iphone-7-8-leather-case-product-red,MXYL2,MQHA2,MMY62
iphone-7-8-leather-case-black,MXYM2,MQH92,MMY52
iphone-7-8-leather-case-midnight-blue,MXYN2,MQH82,MMY32
iphone-7-8-leather-case-saddle-brown,MQH72,MMY22
iphone-7-8-leather-case-taupe,MQH62,MPT62
iphone-7-8-silicone-case-product-red,MN6H3,MQGP2,MMWN2
iphone-7-8-silicone-case-black,MXYH2,MQGK2,MMW82
iphone-7-8-silicone-case-midnight-blue,MQGM2,MMWK2
iphone-7-8-silicone-case-pink-sand,MXYK2,MQGQ2,MMX12
iphone-7-8-silicone-case-white,MXYJ2,MQGL2,MMWF2
iphone-7-8-plus-leather-case-product-red,MQHN2,MMYK2
iphone-7-8-plus-leather-case-black,MQHM2,MMYJ2
iphone-7-8-plus-leather-case-midnight-blue,MQHL2,MMYG2
iphone-7-8-plus-leather-case-saddle-brown,MQHK2,MMYF2
iphone-7-8-plus-leather-case-taupe,MQHJ2,MPTC2
iphone-7-8-plus-silicone-case-product-red,MQH12,MMQV2
iphone-7-8-plus-silicone-case-black,MQGW2,MMQR2
iphone-7-8-plus-silicone-case-midnight-blue,MQGY2,MMQU2
iphone-7-8-plus-silicone-case-pink-sand,MQH22,MMT02
iphone-7-8-plus-silicone-case-white,MQGX2,MMQT2
